"1 Cluain na Ri, Ballycullane, New Ross"	Wexford	"193,833"	192044	02/01/2018
"1 ROSEVILLE, LOWER ROAD, SHANKILL"	Dublin	"627,231"	655235.7	02/01/2018
"11 Castlelynn, Soldiers Road, Bray"	Wicklow	"545,000"	541762	02/01/2018
"12 HEYWOOD DR, ARD GAOITHE, CLONMEL"	Tipperary	"150,000"	145345	02/01/2018
"18 CARRIAG FERN, BUNCRANA, CO DONEGAL"	Donegal	"270,000"	267136	02/01/2018
"18 HILLSIDE VIEW, KILLARGUE, CO. LEITRIM"	Leitrim	"29,600"	29229	02/01/2018
"19 ULVERTON RD, DALKEY, DUBLIN"	Dublin	"1,130,000"	1138244	02/01/2018
"2 CHAPELTOWN, BALLYHEA, CO KERRY"	Kerry	"140,000"	136094	02/01/2018
"2 HAWTHORN BANK, ROYAL CANAL, MULLINGAR"	Westmeath	"160,000"	157931	02/01/2018
"236 PHIBSBORO RD, DUBLIN 7, DUBLIN"	Dublin	"277,000"	266074	02/01/2018
"239 BLARNEY ST, CORK, CORK"	Cork	"115,000"	116415	02/01/2018
"29 CROSS ST, NEW ROSS, WEXFORD"	Wexford	"50,000"	48816	02/01/2018
"3 CCOLROE COURT, BALLINCOLLIG"	Cork	"361,233"	352168	02/01/2018
"3 COLLEGE COURT, PORTRANE ROAD, DONABATE"	Dublin	"348,018"	336013.62	02/01/2018
"34 SLANE RD, CRUMLIN, DUBLIN 12"	Dublin	"325,000"	330499	02/01/2018
"34 THE FAIRWAYS, ABBEYLEIX, LAOIS"	Laois	"168,000"	161037	02/01/2018
"38 THE CRESCENT, CASTLE ROCK, BANESHANE"	Cork	"365,000"	351847	02/01/2018
"3B CLONMORE GROVE, TRALEE, CO KERRY"	Kerry	"87,000"	88072	02/01/2018
"4 LIOS NA GREINE, SOUTH DOUGLAS RD, CORK"	Cork	"230,000"	227462	02/01/2018
"43 YEATS VILLAGE, SLIGO, CO SLIGO"	Sligo	"82,000"	79854	02/01/2018
"48 BASTION QUAY, THE DOCKS, ATHLONE"	Westmeath	"195,000"	192577	02/01/2018
"5 BLUEBELL WAY, PORTLAOISE, LAOIS"	Laois	"160,000"	162186	02/01/2018
"50 TUSKAR COURTYARD, ARKLOW MARINA VILLAGE, WICKLOW"	Wicklow	"175,000"	172430	02/01/2018
"51A ST PATRICKS CRESCENT, MONKSTOWN, DUBLIN"	Dublin	"545,000"	557626	02/01/2018
"62 ABBERLEY APTS, ABBERLEY SQ, HIGH ST DUBLIN 24"	Dublin	"180,000"	184866	02/01/2018
"8 LEITIR ARD, LETTERKENNY, DONEGAL"	Donegal	"43,375"	41637	02/01/2018
"84 ST JOHNS PARK, TRALEE, CO KERRY"	Kerry	"118,000"	120919	02/01/2018
"89 CROMWELLSFORT RD, WALKINSTOWN, DUBLIN 12"	Dublin	"350,000"	338588	02/01/2018
"93 DANGAN HEIGHTS, NEWCASTLE, GALWAY"	Galway	"241,364"	233470.52	02/01/2018
"APT 67 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3"	Dublin	"230,000"	237301	02/01/2018
"Apt 70, Eustace Court, Coolinor"	Dublin	"400,882"	416389	02/01/2018
"CHESTNUT LODGE, BLOOMFIELD MULLINGAR, WESTMEATH"	Westmeath	"507,500"	504153	02/01/2018
"CLOGHAN CASTLE, LUSMAGH, BANAGHER"	Offaly	"960,000"	1005576	02/01/2018
"COR NA RON WEST, INVERIN, CO GALWAY"	Galway	"155,000"	147382	02/01/2018
"CUTTEEN, KILROSSANTY, CO. WATERFORD"	Waterford	"85,000"	88492	02/01/2018
"FENAGH, BALLINAMORE P.O., CO LEITRIM"	Leitrim	"112,500"	111655	02/01/2018
"KNOCKNAGEEHA, GNEEVEGUILLA, RATHMORE"	Kerry	"47,500"	49024	02/01/2018
"NO 6 THE COURTYARD, FOTA ISLAND, CARRIGETWOHILL"	Cork	"228,000"	221233	02/01/2018
"SHEESTOWN, BENNETTSBRIDGE ROAD, KILKENNY"	Kilkenny	"100,000"	96385	02/01/2018
"ST PAULS LODGE, HERBERT RD, BRAY"	Wicklow	"880,000"	836690	02/01/2018
"THE OLD REFECTORY, ARDMAYLE, CASHEL"	Tipperary	"330,000"	344849	02/01/2018
"1 Ballygossan Park, Golf Links Road, Skerries"	Dublin	"348,017"	350913	03/01/2018
"10 PUNCHESTOWN GATE, DUBLIN RD, NAAS"	Kildare	"176,000"	167722	03/01/2018
"10 SHANTALLA PARK, BEAUMONT, DUBLIN 9"	Dublin	"360,000"	361096	03/01/2018
"103 Millers Court, Old Quarter, Ballincollig"	Cork	"480,000"	472822	03/01/2018
"11 A CHURCH STREET, TULLAMORE, CO OFFALY"	Offaly	"40,000"	40311	03/01/2018
"11 L CHURCH STREET, TULLAMRE, COUNTY OFFALY"	Offaly	"68,000"	69068	03/01/2018
"14 Castleway, Kinsealy Lane, Malahide"	Dublin	"729,000"	708016	03/01/2018
"14 CLAREMONT COURT, ST ALPHONSUS ST, LIMERICK"	Limerick	"80,000"	79454	03/01/2018
"147 KILDARE RD, CRUMLIN, DUBLIN 12"	Dublin	"372,000"	372550	03/01/2018
"16 AMBERFIELD, VERDEMONT, BLANCHARDSTOWN"	Dublin	"203,000"	199071	03/01/2018
"16 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS"	Dublin	"200,000"	193132	03/01/2018
"16 HILLCREST MANOR, NEWPORT, CO TIPPERARY"	Tipperary	"291,000"	279390	03/01/2018
"17 HOPHILL VALE, TULLAMORE, OFFALY"	Offaly	"150,000"	144915	03/01/2018
"17 WOODSTOWN LANE, KNOCKLYON, DUBLIN 16"	Dublin	"456,000"	476667	03/01/2018
"2 CLAREVIEW, UPPER QUAY, WESTPORT"	Mayo	"245,000"	233393	03/01/2018
"2 COXES LANE, DUNGARUAN, WATERFORD"	Waterford	"80,000"	80373	03/01/2018
"20  Greenbank House, Cualanor, Upper Glenageary Road"	Dublin	"273,488"	281221	03/01/2018
"22 PARK COURT, BALLYVOLANE, CO. CORK"	Cork	"179,700"	179789	03/01/2018
"23 Kilheale Drive, Kilheale Manor, Kill"	Kildare	"277,533"	264993	03/01/2018
"23 Willow Close, Dunshaughlin"	Meath	"303,965"	301124.75	03/01/2018
"25 CASTLEKNOCK DOWNS, DUBLIN 15, DUBLIN"	Dublin	"342,000"	345074	03/01/2018
"26 CLUAN DARA COURT, CLONMACKEN, ENNIS ROAD"	Limerick	"181,000"	183114	03/01/2018
"28 LYMEWOODS MEWS, NORTHWOOD, SANTRY"	Dublin	"269,000"	262469	03/01/2018
"3 KILFINANE RD, BALLYLANDERS, LIMERICK"	Limerick	"165,000"	160026	03/01/2018
"32 Hamilton Avenue, Mount Avenue, Carrick Road"	Louth	"203,250"	206503	03/01/2018
"35 WOODLANDS PARK, COILL DUBH, ROBERTSTOWN"	Kildare	"220,000"	226452	03/01/2018
"36 LISSADEL DRIVE, DRIMAGH, DUBLIN 12"	Dublin	"225,000"	218023	03/01/2018
"40 HERBERT PARK, BALLSBRIDGE, DUBLIN 4"	Dublin	"2,725,000"	2682218	03/01/2018
"40 MAYLOR ST, CORK, CORK"	Cork	"100,000"	101764	03/01/2018
"5 GLENANAAR PLACE, COBH, CORK"	Cork	"153,500"	146107	03/01/2018
"5 LAMBAY VIEW, RUSH, DUBLIN"	Dublin	"280,000"	291946	03/01/2018
"61 CROMCASTLE RD, KILMORE WEST, COOLOCK DUBLIN 5"	Dublin	"302,500"	289203	03/01/2018
"615 THE COURTYARD, K CLUB, STRAFFAN"	Kildare	"385,000"	403696	03/01/2018
"63 ST BEGNETS VILLAS, DALKEY, DUBLIN"	Dublin	"605,000"	613890	03/01/2018
"65 COLLEGEFORT, CASTLEKNOCK, DUBLIN 15"	Dublin	"245,000"	241338	03/01/2018
"7 SOUTHVILLE GDNS, BALLINACURRA, LIMERICK"	Limerick	"246,000"	251210	03/01/2018
"8 AGHNAHARNA DR, PORTLAOISE, LAOIS"	Laois	"215,000"	216611	03/01/2018
"APT 11D METROPOLITAN APPARTMENTS, 67 INCHICORE ROAD, KILMAINHAM"	Dublin	"281,000"	268318	03/01/2018
"APT 18, MARYLAND HOUSE BEECHFIELD HAVEN, SHANKILL"	Dublin	"305,000"	306383	03/01/2018
"APT 4, 39 LOWER DORSET ST, DUBLIN"	Dublin	"197,000"	205750	03/01/2018
"APT 9, MONTROSE HOUSE, WHITESTRAND PARK"	Galway	"27,500"	26314	03/01/2018
"BALLINANORE, CASTLEMAHONE, CO LIMERICK"	Limerick	"220,000"	230709	03/01/2018
"BALLINRAHIN HOUSE, RATHANGAN, KILDARE"	Kildare	"525,000"	510652	03/01/2018
"BALLINTAVA, DUNMORE, GALWAY"	Galway	"115,000"	115744	03/01/2018
"BORO RD, EMLY, TIPPERARY"	Tipperary	"77,700"	79070	03/01/2018
"BOSTON HILL, RATHANGAN, COUNTY KILDARE"	Kildare	"180,000"	181464	03/01/2018
"BRENARD, CULLENSTOWN, DUNCORMICK"	Wexford	"195,000"	191886	03/01/2018
"CAIE LE MAR, ROCKY VALLEY DR, KILMACANOGUE"	Wicklow	"965,000"	993566	03/01/2018
"CARRIGSHANE, BALLYFOULOO HILL, MONKSTOWN"	Cork	"90,000"	93099	03/01/2018
"CHAPEL ROAD, DUNGLOE, CO DONEGAL"	Donegal	"150,000"	151580	03/01/2018
"CHRISTIANSTOWN, READYPENNY, DUNDALK"	Louth	"30,000"	29864	03/01/2018
"DUILLEOG, MONADRISHANE, KILWORTH"	Cork	"190,000"	197331	03/01/2018
"GARRANES, CARRIGTWOHILL, CO. CORK"	Cork	"95,000"	92029	03/01/2018
"HOLIDAY HOME 8, KILCORAN LODGE HOTEL, CAHIR"	Tipperary	"50,000"	51699	03/01/2018
"KNOCKDUFF, DUNMANWAY, COUNTY CORK"	Cork	"25,000"	24361	03/01/2018
"MAGLASS EAST, BALLYMACELLIGGOT, TRALEE"	Kerry	"80,000"	81333	03/01/2018
"No 10 The Fairways, BELTURBET"	Cavan	"25,000"	26133	03/01/2018
"No 4A Gortoolan, Ballyconnell"	Cavan	"25,000"	25674	03/01/2018
"No. 3 Castlechurch Drive, Castlechurch, Newcastle"	Dublin	"281,939"	267947	03/01/2018
"OWENTESKNA, CARRICK, DONEGAL"	Donegal	"80,000"	83075	03/01/2018
"RIVER STREET, EYRECOURT, BALLINASLOE"	Galway	"18,000"	17325	03/01/2018
"RUSSELLSTOWN WOOD, RUSSELLSTOWN, CARLOW"	Carlow	"650,000"	631107	03/01/2018
"SLEEPY HOLLOW, OLDTOWN RD, CASTLEBRIDGE"	Wexford	"230,000"	239319	03/01/2018
"STRADONE ST, BALLYJAMESDUFF, CAVAN"	Cavan	"60,000"	61342	03/01/2018
"THE CORNER HOUSE, BARNA, GALWAY"	Galway	"635,000"	613515	03/01/2018
"TULLAHINELL, BALLYLONGFORD, COUNTY KERRY"	Kerry	"72,000"	72675	03/01/2018
"UPPERCLOGHER, MONASTERADEN, CO. SLIGO"	Sligo	"48,000"	46802	03/01/2018
"1 ARD NA NEAGH CLOSE, RAILWAY RD, ROSCOMMON"	Roscommon	"60,000"	60232	04/01/2018
"1 ATH NA RI, CARRICK-ON-SHANNON, CARRICK-ON-SHANNON"	Leitrim	"55,200"	55609	04/01/2018
"1 DUN EOIN MEADOW, DUN EOIN, BALLINREA ROAD"	Cork	"295,000"	293522	04/01/2018
"1 DUNGUAIRE, KINVARA, COUNTY GALWAY"	Galway	"270,000"	265063	04/01/2018
"1 MAPLE, HAZELDENE, DONNYBROOK DUBLIN 4"	Dublin	"765,000"	786203	04/01/2018
"1 PARK HOUSE, WILLANS DR, ONGAR GREEN DUBLIN 15"	Dublin	"143,000"	142406	04/01/2018
"1 SYCAMORE AVE, CELBRIDGE RD, LEIXLIP"	Kildare	"350,000"	358586	04/01/2018
"10 ARD NA GAOITHE, KNOCKATALLON, MONAGHAN"	Monaghan	"90,000"	88970	04/01/2018
"101 COOLEY RD, DRIMNAGH, DUBLIN 12"	Dublin	"290,000"	291722	04/01/2018
"11 WARRENMOUNT PLACE, BLACKPITTS, DUBLIN 8"	Dublin	"365,000"	358283	04/01/2018
"11 WILLOWBROOK LODGE, CELBRIDGE, KILDARE"	Kildare	"245,000"	251828	04/01/2018
"111 AN DUICHE, SCALLAGHEEN, TIPPERARY TOWN"	Tipperary	"81,000"	82680	04/01/2018
"115 BROOKFIELD HALL, CASTLETROY, LIMERICK"	Limerick	"101,000"	98534	04/01/2018
"120 DOWLAND RD, WALKINSTOWN, DUBLIN 12"	Dublin	"307,000"	310368	04/01/2018
"13 MOYARD, SHANBALLA, LAHINCH RD"	Clare	"217,000"	218117	04/01/2018
"13 THE LIMES, BEAUFORT PLACE, NAVAN"	Meath	"350,000"	336628	04/01/2018
"14 PRESENTATION AVE, OFF CATHEDRAL RD, CORK"	Cork	"180,000"	176842	04/01/2018
"14 Willow House, Silverbanks, Baldoyle"	Dublin	"219,512"	215923.2	04/01/2018
"147 KNOCKBRACK DOWNS, MATTHEWS LANE, DROGHEDA"	Louth	"160,500"	167389	04/01/2018
"15 ASHFIELD, NEW ORCHARD RD, KILKENNY"	Kilkenny	"226,000"	234840	04/01/2018
"15 BROOKDALE RD, RIVERVALLEY, SWORDS"	Dublin	"246,346"	251051	04/01/2018
"16 CRESTFIELD AVE, WHITEHALL, DUBLIN 9"	Dublin	"460,000"	480062	04/01/2018
"16 Grace Park Grove, Grace Park Wood, Grace Park Road"	Dublin	"453,744"	470027	04/01/2018
"16 PARK AVE, GRANGERATH, DROGHEDA"	Meath	"335,000"	325157	04/01/2018
"16 ST JOSEPHS SQ, CLONTARF, DUBLIN 3"	Dublin	"395,000"	409797	04/01/2018
"170 CHARLESLAND PARK, GREYSTONES, WICKLOW"	Wicklow	"380,000"	364132	04/01/2018
"173 RIVER RD, CARTRON POINT, SLIGO"	Sligo	"86,000"	83534	04/01/2018
"180 BEAUVALE PARK, ARTANE, DUBLIN 5"	Dublin	"350,000"	349244	04/01/2018
"19 BARRETT ST, BAGENALSTOWN, CARLOW"	Carlow	"80,000"	83375	04/01/2018
"1A ARD NA NEAGH CLOSE, RAILWAY RD, ROSCOMMON"	Roscommon	"35,000"	34918	04/01/2018
"20 THE BRAMBLES, BALLINAKILL DOWNS, WATERFORD CITY"	Waterford	"311,000"	319198	04/01/2018
"21 CAIRNWOOD COURT, TALLAGHT, DUBLIN 24"	Dublin	"260,000"	254200	04/01/2018
"21 Kilheale Drive, Kilheale Manor, Kill"	Kildare	"255,507"	258827.6	04/01/2018
"21 THE PARK, BEAUMONT WOODS, BEAUMONT DUBLIN 9"	Dublin	"420,000"	439501	04/01/2018
"22 ELM PARK, CHAMBERSLAND, NEW ROSS"	Wexford	"151,000"	149217	04/01/2018
"22 THE LAURELS, DUNDALK, LOUTH"	Louth	"134,000"	132845	04/01/2018
"24 Stratton Drive, Adamstown Square, Adamstown"	Dublin	"255,507"	260199.6	04/01/2018
"28 HAZELWOOD COURT, CLONSILLA, DUBLIN 15"	Dublin	"250,000"	243324	04/01/2018
"3 LAKEVIEW TERRACE, PORTROE, NENAGH"	Tipperary	"143,000"	141372	04/01/2018
"3 NEWTOWNBARRY, CHARLEVILLE, CORK"	Cork	"40,000"	39234	04/01/2018
"32 ABBEY PARK, KILLESTER, DUBLIN 5"	Dublin	"400,000"	413116	04/01/2018
"32 Dodderbrook Drive, Dublin 24"	Dublin	"370,000"	371981	04/01/2018
"32 ST JOHNS VILLAS, ENNISCORTHY, WEXFORD"	Wexford	"80,000"	80975	04/01/2018
"35 ERRIGAL VIEW, MOUNTAIN TOP, LETTERKENNY"	Donegal	"93,333"	88817	04/01/2018
"35 Grace Park, Dromcondra, Dublin 9"	Dublin	"440,528"	421970	04/01/2018
"365 CLOGHER ROAD, CRUMLIN, DUBLIN 12"	Dublin	"270,000"	261113	04/01/2018
"37 THE HEATH, RAMSGATE VILLAGE, GOREY"	Wexford	"160,000"	166227	04/01/2018
"38 The Green, The Paddocks, Hansfield"	Dublin	"286,344"	286331.6	04/01/2018
"39 NEWPARK, PORTLAOISE, LAOIS"	Laois	"165,000"	159810	04/01/2018
"39 THE RED MILL, NORTH BRUNSWICK ST, DUBLIN 7"	Dublin	"203,778"	198065	04/01/2018
"40A ARAS NA CLUAINE, CLONDALKIN, DUBLIN 22"	Dublin	"115,000"	111863	04/01/2018
"43 SILCHESTER PARK, GLENAGEARY, DUBLIN"	Dublin	"700,000"	703999	04/01/2018
"45 OLD KILLARNEY VILLAGE, GROIN AGHADOE, KILLARNEY"	Kerry	"135,000"	131558	04/01/2018
"46 South Bay, Rosslare"	Wexford	"189,427"	183241.31	04/01/2018
"4A OAK VIEW ROAD, ATHY RD, CARLOW"	Carlow	"100,000"	98464	04/01/2018
"5  Willow House, Silverbanks, The Coast"	Dublin	"140,969"	146520.16	04/01/2018
"5 CHURCH VIEW, CAHERMORE, CASTLETOWNBERE"	Cork	"55,000"	56130	04/01/2018
"5 COURTOWN PARK, KILCOCK, KILDARE"	Kildare	"120,000"	117493	04/01/2018
"5A OAK VIEW ROAD, ATHY RD, CARLOW"	Carlow	"100,000"	97623	04/01/2018
"6 Deerpark Avenue, Manor West, Tralee"	Kerry	"140,969"	144550	04/01/2018
"61 BROOKFIELD EST, KIMMAGE CROSS RD, DUBLIN 12"	Dublin	"445,000"	442431	04/01/2018
"65 CHRISTCHURCH VIEW, NICHOLAS ST, DUBLIN 8"	Dublin	"345,000"	349139	04/01/2018
"7 STEPHEN ST, KILKENNY, KILKENNY"	Kilkenny	"225,000"	217403	04/01/2018
"7 THE OAKS, ROSELEIGH, MOONCOIN"	Kilkenny	"158,000"	162515	04/01/2018
"73 ALLEN VIEW HEIGHTS, NEWBRIDGE, KILDARE"	Kildare	"237,000"	247126	04/01/2018
"73 LADYWELL, BALLYHEIGUE, KERRY"	Kerry	"100,000"	97007	04/01/2018
"8 Deerpark Avenue, Manor West, Tralee"	Kerry	"140,969"	134834	04/01/2018
"8 Hamilton Hill, Barnageeragh Cove, Skerries"	Dublin	"378,855"	387945.62	04/01/2018
"9 THE CRESCENT, LIMERICK, CO LIMERICK"	Limerick	"225,000"	225553	04/01/2018
"9 THE PADDOCKS CRESCENT, ADAMSTOWN, LUCAN"	Dublin	"240,000"	230722	04/01/2018
"90 MOUNT GARRETT PARK, TYRRELSTOWN, DUBLIN 15"	Dublin	"175,000"	178256	04/01/2018
"92 Parklands, Youghal, Co Cork"	Cork	"190,000"	185765	04/01/2018
"Apt 89 Eustace Court, Cualanor, Upper Glenageary Road"	Dublin	"422,907"	434929.49	04/01/2018
"APT 9 GROUND FLOOR, TIMBER MILL, ARTANE DUBLIN 5"	Dublin	"249,000"	240592	04/01/2018
"BURTONHALL, CARLOW"	Carlow	"255,000"	249853	04/01/2018
"CARNALYNCH, BAILIEBOROUGH, CAVAN"	Cavan	"145,000"	149486	04/01/2018
"CARRICK(BUNGALOW), BALLINALACK, MULLINGAR"	Westmeath	"75,000"	76020	04/01/2018
"CLONMORE, CAPPINCUR, TULLAMORE"	Offaly	"272,500"	271788	04/01/2018
"COOLISHAL UPPER, GOREY, COUNTY WEXFORD"	Wexford	"330,000"	316765	04/01/2018
"COOLRAKE, MOONE, ATHY"	Kildare	"200,000"	206077	04/01/2018
"DERRYLISSANE, MENLOUGH, BALLINASLOE"	Galway	"220,000"	212899	04/01/2018
"FITZPATRICK SQUARE, CLONES, CO MONAGHAN"	Monaghan	"35,000"	36139	04/01/2018
"FORRAMOYLE WEST, BARNA, CO GALWAY"	Galway	"595,000"	581584	04/01/2018
"FUSSA, KILGARVAN, KILLARNEY"	Kerry	"64,000"	61118	04/01/2018
"GLENEAGLES, NORTH CIRCULAR RD, LIMERICK"	Limerick	"1,110,000"	1086066	04/01/2018
"HIGHBANK ARDCLONE, MILLTOWN, ARDCLONE"	Kilkenny	"145,000"	143853	04/01/2018
"LISLEA, OMEATH, CO MEATH"	Louth	"88,000"	90403	04/01/2018
"MAIN STREET, ROOSKEY, CO ROSCOMMON"	Roscommon	"50,000"	52366	04/01/2018
"MARYMOUNT HOUSE, DARDISTOWN, CLOGHRAN"	Dublin	"635,000"	625078	04/01/2018
"NO 26 LAKESDIE WALK, NORTH ROAD, MONAGHAN"	Monaghan	"76,500"	76516	04/01/2018
"NO 27 LAKESIDE WALK, NORTH ROAD, MONAGHAN"	Monaghan	"76,500"	74453	04/01/2018
"ROCKFOREST LODGE, LAVALLY MALLOW, CORK"	Cork	"425,000"	411528	04/01/2018
"SPANISH POINT RD, MILTOWN MALBAY, CLARE"	Clare	"160,000"	157880	04/01/2018
"1 ASHCROFT, CLOYNE, CORK"	Cork	"135,000"	129792	05/01/2018
"1 CURRINDALE, TERMON, LETTERKENNY"	Donegal	"89,000"	92871	05/01/2018
"1 ELM PARK, DUN AN OIR, KANTURK"	Cork	"120,000"	124973	05/01/2018
"10 EDEN COURT, ROSCOMMON RD, LONGFORD"	Longford	"60,000"	61340	05/01/2018
"102 MARITANA GATE, CANADA ST, WATERFORD"	Waterford	"95,000"	91902	05/01/2018
"11 Hollywood Rath Park, Hollystown"	Dublin	"341,409"	356062	05/01/2018
"12 Grace Park way, Grace Park Wood, Grace Park Road"	Dublin	"418,502"	404490.2	05/01/2018
"12 rathbeale grove, swords"	Dublin	"286,343"	275481	05/01/2018
"12 THE CRESCENT, DUN EALA, FERMOY"	Cork	"182,000"	190382	05/01/2018
"121 IVERAGH RD, GAELTACHT PARK, DUBLIN 9"	Dublin	"193,800"	202371	05/01/2018
"13 Earlswell, Tobar an Iarla, Waterfall"	Cork	"524,229"	535758.07	05/01/2018
"14 MCCABE VILLAS, BOOTERSTOWN, CO DUBLIN"	Dublin	"403,000"	408398	05/01/2018
"14 NEWTOWN COURT, MAYNOOTH, KILDARE"	Kildare	"363,000"	353037	05/01/2018
"14 Seaview Drive, Cnoc Na Mara, BLACKROCK"	Louth	"308,370"	294418	05/01/2018
"14 THE STABLES, WOODSTOWN HOLIDAY HOMES, WOODSTOWN STRAND"	Waterford	"120,000"	116835	05/01/2018
"15 SANDYCOVE, MOUNTSHANNON, CLARE"	Clare	"125,000"	129968	05/01/2018
"15 SUNVIEW TCE, COLLEGE RD, CORK"	Cork	"255,000"	258012	05/01/2018
"16 SPRINGBANK, SAGGART, DUBLIN"	Dublin	"320,000"	322756	05/01/2018
"18 ORIEL SQUARE, LISMORE LAWN, WATERFORD"	Waterford	"142,000"	142002	05/01/2018
"18 SWIFTBROOK GLEN, VIRGINIA, CAVAN"	Cavan	"250,000"	245197	05/01/2018
"18 THE MOORINGS, ROBERTSTOWN, COUNTY KILDARE"	Kildare	"185,000"	192633	05/01/2018
"19 GLANDORE RD, DRUMCONDRA, DUBLIN CITY"	Dublin	"375,000"	369966	05/01/2018
"19 GRANGEVIEW PLACE, GRANGEVIEW, CLONDALKIN DUBLIN 22"	Dublin	"191,000"	189238	05/01/2018
"19 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3"	Dublin	"765,000"	736118	05/01/2018
"19 PARK HOUSE, BENSON ST, DUBLIN 2"	Dublin	"410,000"	403703	05/01/2018
"2 ELM PARK, DUN AN OIR    NEW MARKET ROAD, KANTURK"	Cork	"120,000"	122725	05/01/2018
"2 GRIFFIN CLOSE, MONASTERY RD, CORK"	Cork	"175,000"	167574	05/01/2018
"2 SUNDALE PARADE, TALLAGHT, DUBLIN 24"	Dublin	"255,000"	266270	05/01/2018
"2 THE GROVE, OAKLANDS, NEW ROSS"	Wexford	"66,000"	66115	05/01/2018
"21 CASTLEGRANGE DR, CLONSILLA, DUBLIN 15"	Dublin	"300,000"	300532	05/01/2018
"21 DUNAWLEY DR, CLONDALKIN, DUBLIN 22"	Dublin	"271,000"	277339	05/01/2018
"21 WINSFORT, ROCHESTOWN RD, CORK"	Cork	"420,000"	403730	05/01/2018
"22 HARBOURSIDE, NEWPORT, CO. MAYO"	Mayo	"150,000"	148614	05/01/2018
"24 CLUAIN DROICHEAD, SIXMILEBRIDGE, CLARE"	Clare	"195,000"	185995	05/01/2018
"25 SPRINGHILL COURT, GRAIGUECULLEN, CARLOW"	Carlow	"162,000"	159193	05/01/2018
"26 DERRYNANE GARDENS, BATH AVE, SANDYMOUNT"	Dublin	"580,000"	592028	05/01/2018
"27 Hampton Gardens Avenue, Balbriggan"	Dublin	"221,194"	214387	05/01/2018
"27 THE MEADOWS, CAHEREEN HEIGHTS, CASTLEISLAND"	Kerry	"130,000"	129322	05/01/2018
"29 MILLBROOK MANOR, CANAL RD, PORTARLINGTON"	Laois	"195,000"	194393	05/01/2018
"3 PARK ROW, MAGDALENE ST, DROGHEDA"	Louth	"135,000"	134236	05/01/2018
"3 RADHARC NA MARA, BALLYVERGAN EAST, YOUGHAL"	Cork	"285,000"	293514	05/01/2018
"3 TOWNFIELDS, TEMPLEMORE ROAD, CLOUGHJORDAN"	Tipperary	"45,660"	47420	05/01/2018
"33 HUNTSTOWN DRIVE, MULHUDDART, DUBLIN 15"	Dublin	"261,100"	270225	05/01/2018
"33 RAVENSDALE DR, KIMMAGE, DUBLIN 12"	Dublin	"500,000"	485682	05/01/2018
"33 URSULINE COURT, WATERFORD"	Waterford	"177,000"	169145	05/01/2018
